challenge_group,transaction_description,category
known_merchant_noisy_description,UPI-COURSERA-180325,Education
unseen_merchant,UPI-VENDORAQUILA-180325,Education
ambiguous_description,POS PURCHASE 180325,Education
known_merchant_noisy_description, udemy  AHM  txn 489713 ,Education
unseen_merchant,vendoraquila  AHM  txn 489713,Education
ambiguous_description,ONLINE TXN 489713,Education
known_merchant_noisy_description,POS/COURSERA/BLR/281322,Education
unseen_merchant,POS/VENDORAQUILA/BLR/281322,Education
ambiguous_description,PAYMENT REF 281322,Education
known_merchant_noisy_description,COURSERA INDIA PVT LTD PAYREF762176,Education
unseen_merchant,VENDORAQUILA PAYMENT REF 762176,Education
ambiguous_description,PAYMENT REF 762176,Education
known_merchant_noisy_description,UPI-COURSERA-561903,Education
unseen_merchant,UPI-VENDORAQUILA-561903,Education
ambiguous_description,POS PURCHASE 561903,Education
known_merchant_noisy_description, udemy  DEL  txn 550316 ,Education
unseen_merchant,vendoraquila  DEL  txn 550316,Education
ambiguous_description,PAYMENT REF 550316,Education
known_merchant_noisy_description,POS/UDEMY/KOL/803409,Education
unseen_merchant,POS/VENDORAQUILA/KOL/803409,Education
ambiguous_description,PAYMENT REF 803409,Education
known_merchant_noisy_description,UDEMY INDIA PVT LTD PAYREF590885,Education
unseen_merchant,VENDORAQUILA PAYMENT REF 590885,Education
ambiguous_description,UPI PAYMENT 590885,Education
known_merchant_noisy_description,UPI-COURSERA-182922,Education
unseen_merchant,UPI-VENDORAQUILA-182922,Education
ambiguous_description,UPI PAYMENT 182922,Education
known_merchant_noisy_description, udemy  AHM  txn 872461 ,Education
unseen_merchant,vendoraquila  AHM  txn 872461,Education
ambiguous_description,ONLINE TXN 872461,Education
known_merchant_noisy_description,POS/COURSERA/AHM/248706,Education
unseen_merchant,POS/VENDORAQUILA/AHM/248706,Education
ambiguous_description,POS PURCHASE 248706,Education
known_merchant_noisy_description,UDEMY INDIA PVT LTD PAYREF161127,Education
unseen_merchant,VENDORAQUILA PAYMENT REF 161127,Education
ambiguous_description,PAYMENT REF 161127,Education
known_merchant_noisy_description,UPI-BOOKMYSHOW-710126,Entertainment
unseen_merchant,UPI-VENDORBIRCH-710126,Entertainment
ambiguous_description,UPI PAYMENT 710126,Entertainment
known_merchant_noisy_description, spotify  HYD  txn 427515 ,Entertainment
unseen_merchant,vendorbirch  HYD  txn 427515,Entertainment
ambiguous_description,UPI PAYMENT 427515,Entertainment
known_merchant_noisy_description,POS/BOOKMYSHOW/MUM/591912,Entertainment
unseen_merchant,POS/VENDORBIRCH/MUM/591912,Entertainment
ambiguous_description,ONLINE TXN 591912,Entertainment
known_merchant_noisy_description,SPOTIFY INDIA PVT LTD PAYREF930274,Entertainment
unseen_merchant,VENDORBIRCH PAYMENT REF 930274,Entertainment
ambiguous_description,PAYMENT REF 930274,Entertainment
known_merchant_noisy_description,UPI-BOOKMYSHOW-469764,Entertainment
unseen_merchant,UPI-VENDORBIRCH-469764,Entertainment
ambiguous_description,POS PURCHASE 469764,Entertainment
known_merchant_noisy_description, bookmyshow  HYD  txn 168708 ,Entertainment
unseen_merchant,vendorbirch  HYD  txn 168708,Entertainment
ambiguous_description,UPI PAYMENT 168708,Entertainment
known_merchant_noisy_description,POS/BOOKMYSHOW/MUM/516646,Entertainment
unseen_merchant,POS/VENDORBIRCH/MUM/516646,Entertainment
ambiguous_description,POS PURCHASE 516646,Entertainment
known_merchant_noisy_description,SPOTIFY INDIA PVT LTD PAYREF397176,Entertainment
unseen_merchant,VENDORBIRCH PAYMENT REF 397176,Entertainment
ambiguous_description,ONLINE TXN 397176,Entertainment
known_merchant_noisy_description,UPI-NETFLIX-946274,Entertainment
unseen_merchant,UPI-VENDORBIRCH-946274,Entertainment
ambiguous_description,PAYMENT REF 946274,Entertainment
known_merchant_noisy_description, netflix  KOL  txn 666787 ,Entertainment
unseen_merchant,vendorbirch  KOL  txn 666787,Entertainment
ambiguous_description,POS PURCHASE 666787,Entertainment
known_merchant_noisy_description,POS/SPOTIFY/AHM/791058,Entertainment
unseen_merchant,POS/VENDORBIRCH/AHM/791058,Entertainment
ambiguous_description,PAYMENT REF 791058,Entertainment
known_merchant_noisy_description,BOOKMYSHOW INDIA PVT LTD PAYREF857521,Entertainment
unseen_merchant,VENDORBIRCH PAYMENT REF 857521,Entertainment
ambiguous_description,POS PURCHASE 857521,Entertainment
known_merchant_noisy_description,UPI-ZOMATO-315601,Food
unseen_merchant,UPI-VENDORCYPRESS-315601,Food
ambiguous_description,UPI PAYMENT 315601,Food
known_merchant_noisy_description, localtiffinservice  MUM  txn 849462 ,Food
unseen_merchant,vendorcypress  MUM  txn 849462,Food
ambiguous_description,UPI PAYMENT 849462,Food
known_merchant_noisy_description,POS/ZOMATO/AHM/817157,Food
unseen_merchant,POS/VENDORCYPRESS/AHM/817157,Food
ambiguous_description,ONLINE TXN 817157,Food
known_merchant_noisy_description,STARBUCKS INDIA PVT LTD PAYREF524409,Food
unseen_merchant,VENDORCYPRESS PAYMENT REF 524409,Food
ambiguous_description,PAYMENT REF 524409,Food
known_merchant_noisy_description,UPI-DOMINOSPIZZA-600081,Food
unseen_merchant,UPI-VENDORCYPRESS-600081,Food
ambiguous_description,ONLINE TXN 600081,Food
known_merchant_noisy_description, starbucks  MUM  txn 133536 ,Food
unseen_merchant,vendorcypress  MUM  txn 133536,Food
ambiguous_description,UPI PAYMENT 133536,Food
known_merchant_noisy_description,POS/ZOMATO/KOL/495651,Food
unseen_merchant,POS/VENDORCYPRESS/KOL/495651,Food
ambiguous_description,POS PURCHASE 495651,Food
known_merchant_noisy_description,SWIGGY INDIA PVT LTD PAYREF869571,Food
unseen_merchant,VENDORCYPRESS PAYMENT REF 869571,Food
ambiguous_description,PAYMENT REF 869571,Food
known_merchant_noisy_description,UPI-DOMINOSPIZZA-617139,Food
unseen_merchant,UPI-VENDORCYPRESS-617139,Food
ambiguous_description,ONLINE TXN 617139,Food
known_merchant_noisy_description, zomato  PUN  txn 181509 ,Food
unseen_merchant,vendorcypress  PUN  txn 181509,Food
ambiguous_description,POS PURCHASE 181509,Food
known_merchant_noisy_description,POS/STARBUCKS/BLR/642553,Food
unseen_merchant,POS/VENDORCYPRESS/BLR/642553,Food
ambiguous_description,POS PURCHASE 642553,Food
known_merchant_noisy_description,STARBUCKS INDIA PVT LTD PAYREF984463,Food
unseen_merchant,VENDORCYPRESS PAYMENT REF 984463,Food
ambiguous_description,POS PURCHASE 984463,Food
known_merchant_noisy_description,UPI-PRACTOCONSULTATION-993398,Healthcare
unseen_merchant,UPI-VENDORDRIFT-993398,Healthcare
ambiguous_description,UPI PAYMENT 993398,Healthcare
known_merchant_noisy_description, apollopharmacy  BLR  txn 839506 ,Healthcare
unseen_merchant,vendordrift  BLR  txn 839506,Healthcare
ambiguous_description,POS PURCHASE 839506,Healthcare
known_merchant_noisy_description,POS/PRACTOCONSULTATION/DEL/925886,Healthcare
unseen_merchant,POS/VENDORDRIFT/DEL/925886,Healthcare
ambiguous_description,ONLINE TXN 925886,Healthcare
known_merchant_noisy_description,APOLLOPHARMACY INDIA PVT LTD PAYREF213652,Healthcare
unseen_merchant,VENDORDRIFT PAYMENT REF 213652,Healthcare
ambiguous_description,PAYMENT REF 213652,Healthcare
known_merchant_noisy_description,UPI-PRACTOCONSULTATION-996495,Healthcare
unseen_merchant,UPI-VENDORDRIFT-996495,Healthcare
ambiguous_description,POS PURCHASE 996495,Healthcare
known_merchant_noisy_description, practoconsultation  AHM  txn 476162 ,Healthcare
unseen_merchant,vendordrift  AHM  txn 476162,Healthcare
ambiguous_description,UPI PAYMENT 476162,Healthcare
known_merchant_noisy_description,POS/PRACTOCONSULTATION/BLR/400861,Healthcare
unseen_merchant,POS/VENDORDRIFT/BLR/400861,Healthcare
ambiguous_description,UPI PAYMENT 400861,Healthcare
known_merchant_noisy_description,APOLLOPHARMACY INDIA PVT LTD PAYREF794396,Healthcare
unseen_merchant,VENDORDRIFT PAYMENT REF 794396,Healthcare
ambiguous_description,POS PURCHASE 794396,Healthcare
known_merchant_noisy_description,UPI-APOLLOPHARMACY-745351,Healthcare
unseen_merchant,UPI-VENDORDRIFT-745351,Healthcare
ambiguous_description,ONLINE TXN 745351,Healthcare
known_merchant_noisy_description, practoconsultation  MUM  txn 944245 ,Healthcare
unseen_merchant,vendordrift  MUM  txn 944245,Healthcare
ambiguous_description,ONLINE TXN 944245,Healthcare
known_merchant_noisy_description,POS/PRACTOCONSULTATION/HYD/546062,Healthcare
unseen_merchant,POS/VENDORDRIFT/HYD/546062,Healthcare
ambiguous_description,POS PURCHASE 546062,Healthcare
known_merchant_noisy_description,APOLLOPHARMACY INDIA PVT LTD PAYREF314889,Healthcare
unseen_merchant,VENDORDRIFT PAYMENT REF 314889,Healthcare
ambiguous_description,ONLINE TXN 314889,Healthcare
known_merchant_noisy_description,UPI-LANDLORDNEFT-646476,Rent
unseen_merchant,UPI-VENDORELM-646476,Rent
ambiguous_description,PAYMENT REF 646476,Rent
known_merchant_noisy_description, landlordneft  DEL  txn 178884 ,Rent
unseen_merchant,vendorelm  DEL  txn 178884,Rent
ambiguous_description,UPI PAYMENT 178884,Rent
known_merchant_noisy_description,POS/LANDLORDNEFT/CHN/405049,Rent
unseen_merchant,POS/VENDORELM/CHN/405049,Rent
ambiguous_description,POS PURCHASE 405049,Rent
known_merchant_noisy_description,LANDLORDNEFT INDIA PVT LTD PAYREF917721,Rent
