bank_txn_id,timestamp,amount,direction,merchant,reference,payment_method
SYNTH-BANK-000001,2026-06-18 11:44:00,553.23,DEBIT,FLIPKART,UPI694639,NETBANKING
SYNTH-BANK-000002,2026-07-03 21:31:00,2385.17,DEBIT,BIGBASKET,UPI449836,UPI
SYNTH-BANK-000003,2026-07-08 22:26:00,1563.29,DEBIT,IRCTC,UPI853727,WALLET
SYNTH-BANK-000004,2026-05-15 09:26:00,820.36,CREDIT,SWIGGY,UPI737098,CARD
SYNTH-BANK-000005,2026-07-29 09:37:00,327.07,CREDIT,METRO INDIA,UPI156805,UPI
SYNTH-BANK-000006,2026-05-18 10:01:00,515.34,CREDIT,BMS,UPI706543,WALLET
SYNTH-BANK-000007,2026-06-19 01:06:00,2234.82,DEBIT,Croma Electronics,UPI847016,NETBANKING
SYNTH-BANK-000008,2026-07-25 06:42:00,1577.31,CREDIT,Ola Mobility,UPI449253,WALLET
SYNTH-BANK-DUP-000009,2026-05-20 18:33:00,3009.72,CREDIT,MYNTRA,UPI974622,CARD
SYNTH-BANK-000009,2026-05-20 18:33:00,3009.72,CREDIT,MYNTRA,UPI974622,CARD
SYNTH-BANK-000010,2026-06-11 10:49:00,1060.6,CREDIT,FLIPKART,UPI275394,WALLET
SYNTH-BANK-000011,2026-07-05 12:30:00,1544.38,CREDIT,URBANCLAP,UPI169692,NETBANKING
SYNTH-BANK-000012,2026-07-24 03:16:00,798.84,CREDIT,Croma Electronics,UPI874320,UPI
SYNTH-BANK-DUP-000013,2026-07-28 04:35:00,1885.72,CREDIT,Amazon India,UPI697842,NETBANKING
SYNTH-BANK-000013,2026-07-28 04:35:00,1885.72,CREDIT,Amazon India,UPI697842,NETBANKING
SYNTH-BANK-000014,2026-07-18 18:37:00,2913.11,CREDIT,Urban Company India,UPI979472,CARD
SYNTH-BANK-000015,2026-07-24 08:06:00,776.34,CREDIT,AMAZON,UPI156995,CARD
SYNTH-BANK-000016,2026-07-22 11:53:00,1192.11,CREDIT,AMAZON,UPI556710,UPI
SYNTH-BANK-000017,2026-06-29 01:05:00,3089.55,CREDIT,Myntra Designs,UPI877722,NETBANKING
SYNTH-BANK-000018,2026-06-12 20:23:00,2531.82,DEBIT,URBANCLAP,UPI303335,CARD
SYNTH-BANK-000019,2026-06-04 10:08:00,1025.59,CREDIT,MYNTRA PAY,UPI654803,UPI
SYNTH-BANK-000020,2026-05-17 01:16:00,2226.97,CREDIT,Ola Mobility,UPI705567,CARD
SYNTH-BANK-000021,2026-07-05 08:19:00,979.34,CREDIT,CROMA RETAIL,UPI839944,NETBANKING
SYNTH-BANK-000022,2026-06-15 03:55:00,1433.38,CREDIT,IRCTC,UPI943069,NETBANKING
SYNTH-BANK-000023,2026-05-10 06:49:00,2781.39,CREDIT,BIGBASKET,UPI537652,NETBANKING
SYNTH-BANK-000024,2026-05-07 09:20:00,422.87,CREDIT,MYNTRA,UPI747711,CARD
SYNTH-BANK-000025,2026-06-24 04:25:00,3742.12,DEBIT,APOLLO PHARMACY,UPI983247,WALLET
SYNTH-BANK-000026,2026-06-13 04:12:00,1759.0,CREDIT,CROMA,UPI772849,NETBANKING
SYNTH-BANK-000027,2026-06-08 21:50:00,1101.49,DEBIT,BIGBASKET INDIA,UPI793461,NETBANKING
SYNTH-BANK-000029,2026-06-03 18:10:00,1694.01,DEBIT,BIGBASKET,UPI432398,WALLET
SYNTH-BANK-000030,2026-06-14 11:04:00,411.47,DEBIT,ZOMATO,UPI513738,CARD
SYNTH-BANK-000031,2026-05-13 04:17:00,1187.99,DEBIT,Ola Mobility,UPI302152,WALLET
SYNTH-BANK-000032,2026-06-21 01:34:00,402.31,CREDIT,AMAZON PAY,UPI199651,WALLET
SYNTH-BANK-000033,2026-05-19 03:57:00,1681.7,CREDIT,Croma Electronics,UPI270148,NETBANKING
SYNTH-BANK-000034,2026-05-16 15:04:00,653.91,CREDIT,SWIGGY*BLR,UPI737341,UPI
SYNTH-BANK-000035,2026-06-13 10:21:00,1372.15,CREDIT,IRCTC E-TICKETING,UPI444189,NETBANKING
SYNTH-BANK-000036,2026-06-19 21:31:00,537.16,CREDIT,RELIANCE DIGITAL,UPI480527,CARD
SYNTH-BANK-000037,2026-06-22 17:13:00,2046.85,CREDIT,SWIGGY*BLR,UPI773190,NETBANKING
SYNTH-BANK-000038,2026-07-14 05:24:00,3241.97,CREDIT,Ola Mobility,UPI308204,UPI
SYNTH-BANK-000039,2026-07-05 02:09:00,1161.8,CREDIT,Reliance Retail Ltd,UPI316834,CARD
SYNTH-BANK-000040,2026-05-25 22:15:00,1810.16,CREDIT,URBAN COMPANY,UPI874410,UPI
SYNTH-BANK-000041,2026-06-18 21:57:00,701.99,CREDIT,Apollo Pharmacy Ltd,UPI786839,UPI
SYNTH-BANK-000042,2026-06-28 05:52:00,463.62,CREDIT,URBANCLAP,UPI496956,CARD
SYNTH-BANK-000043,2026-06-15 18:14:00,2695.22,CREDIT,BIGBASKET INDIA,UPI812305,UPI
SYNTH-BANK-000044,2026-06-22 15:12:00,1906.53,CREDIT,NYKAA,UPI529480,CARD
SYNTH-BANK-000045,2026-06-21 12:14:00,500.92,CREDIT,NYKAA.COM,UPI741632,CARD
SYNTH-BANK-000046,2026-05-07 13:22:00,597.28,DEBIT,METRO INDIA,UPI863052,WALLET
SYNTH-BANK-000047,2026-07-20 11:10:00,1433.38,CREDIT,IRCTC RAIL,UPI839974,CARD
SYNTH-BANK-000048,2026-06-09 05:47:00,656.98,CREDIT,RELIANCE DIGITAL,UPI410176,NETBANKING
SYNTH-BANK-000049,2026-05-16 15:46:00,697.02,DEBIT,METRO CASH & CARRY,UPI788996,UPI
SYNTH-BANK-000050,2026-05-01 15:48:00,694.8,CREDIT,BIGBASKET,UPI713195,NETBANKING
SYNTH-BANK-000051,2026-07-13 10:53:00,894.31,CREDIT,IRCTC,UPI369477,CARD
SYNTH-BANK-000052,2026-07-13 16:15:00,592.83,CREDIT,Amazon India,UPI407996,UPI
SYNTH-BANK-000053,2026-05-01 20:32:00,364.95,CREDIT,AMAZON,UPI486960,NETBANKING
SYNTH-BANK-000054,2026-07-10 04:42:00,1188.41,DEBIT,METRO RETAIL,UPI856953,NETBANKING
SYNTH-BANK-000055,2026-05-01 18:18:00,2595.83,DEBIT,NYKAA,UPI894663,CARD
SYNTH-BANK-000056,2026-07-21 03:43:00,1812.98,CREDIT,NYKAA,UPI567022,WALLET
SYNTH-BANK-000057,2026-06-05 22:42:00,206.81,CREDIT,BOOKMYSHOW,UPI255523,UPI
SYNTH-BANK-000058,2026-06-07 06:42:00,424.22,DEBIT,DECATHLON INDIA,UPI573791,WALLET
SYNTH-BANK-000059,2026-05-13 11:00:00,1684.93,CREDIT,Croma Electronics,UPI984687,UPI
SYNTH-BANK-000060,2026-05-07 19:30:00,538.82,DEBIT,FLIPKART,UPI321287,WALLET
SYNTH-BANK-000061,2026-05-10 04:13:00,413.13,CREDIT,APOLLO PHARMACY,UPI463175,CARD
SYNTH-BANK-DUP-000062,2026-05-27 10:10:00,1389.26,DEBIT,BMS,UPI584969,WALLET
SYNTH-BANK-000062,2026-05-27 10:10:00,1389.26,DEBIT,BMS,UPI584969,WALLET
SYNTH-BANK-000063,2026-06-27 15:36:00,993.07,CREDIT,DECATHLON,UPI339427,NETBANKING
SYNTH-BANK-000064,2026-05-13 12:40:00,1788.57,CREDIT,BIGBASKET,UPI462583,WALLET
SYNTH-BANK-000065,2026-05-24 09:35:00,1850.35,CREDIT,FLIPKART,UPI131605,UPI
SYNTH-BANK-000066,2026-07-10 20:04:00,1386.3,DEBIT,BIGBASKET,UPI323345,WALLET
SYNTH-BANK-000067,2026-06-17 10:44:00,2693.13,CREDIT,NYKAA,UPI145482,WALLET
SYNTH-BANK-000068,2026-06-26 01:51:00,1184.76,DEBIT,OLA CABS,UPI243121,UPI
SYNTH-BANK-000069,2026-07-28 03:29:00,1207.48,CREDIT,Myntra Designs,UPI497100,NETBANKING
SYNTH-BANK-000070,2026-07-07 09:42:00,196.27,CREDIT,IRCTC RAIL,UPI988104,WALLET
SYNTH-BANK-000071,2026-06-30 21:20:00,2884.86,CREDIT,BOOKMYSHOW.COM,UPI554748,CARD
SYNTH-BANK-000072,2026-07-11 04:41:00,3117.35,DEBIT,IRCTC,UPI360551,NETBANKING
SYNTH-BANK-000073,2026-07-12 01:58:00,1605.89,DEBIT,ZOMATO*BANGALORE,UPI269677,WALLET
SYNTH-BANK-000074,2026-07-13 15:40:00,7188.88,CREDIT,METRO RETAIL,UPI926073,UPI
SYNTH-BANK-000075,2026-06-27 19:33:00,2932.52,CREDIT,AMAZON,UPI637643,UPI
SYNTH-BANK-000076,2026-07-19 04:09:00,1482.59,DEBIT,Amazon India,UPI640578,CARD
SYNTH-BANK-DUP-000077,2026-06-13 13:54:00,1681.75,DEBIT,FLIPKART PAY,UPI895175,CARD
SYNTH-BANK-000077,2026-06-13 13:54:00,1681.75,DEBIT,FLIPKART PAY,UPI895175,CARD
SYNTH-BANK-000078,2026-05-31 16:36:00,2518.64,CREDIT,ZOMATO*BANGALORE,UPI941358,UPI
SYNTH-BANK-000079,2026-06-11 08:47:00,556.14,CREDIT,METRO CASH & CARRY,UPI298141,NETBANKING
SYNTH-BANK-000080,2026-06-14 23:30:00,1939.6,DEBIT,APOLLO PHARMACY,UPI775373,NETBANKING
SYNTH-BANK-000081,2026-06-07 20:21:00,803.49,DEBIT,Uber Technologies,UPI950632,NETBANKING
SYNTH-BANK-000082,2026-05-24 13:26:00,805.26,CREDIT,APOLLO PHARMACY,UPI592888,UPI
SYNTH-BANK-000083,2026-07-10 12:13:00,7122.63,CREDIT,FLIPKART,UPI466870,CARD
SYNTH-BANK-000084,2026-06-10 04:56:00,1334.27,DEBIT,MYNTRA,UPI739014,NETBANKING
SYNTH-BANK-000085,2026-05-10 15:06:00,854.06,CREDIT,Big Basket,UPI528519,NETBANKING
SYNTH-BANK-000086,2026-05-19 12:18:00,1061.15,DEBIT,Croma Electronics,UPI152323,NETBANKING
SYNTH-BANK-000087,2026-07-27 19:06:00,1102.35,DEBIT,METRO RETAIL,UPI620747,NETBANKING
SYNTH-BANK-000088,2026-07-21 15:14:00,807.35,CREDIT,FLIPKART,UPI361872,NETBANKING
SYNTH-BANK-000089,2026-05-18 05:46:00,730.0,DEBIT,FLIPKART PAY,UPI208099,CARD
SYNTH-BANK-000090,2026-05-08 00:57:00,592.69,CREDIT,Reliance Retail Ltd,UPI176522,CARD
SYNTH-BANK-000091,2026-06-07 05:09:00,1172.57,CREDIT,APOLLO PHARMACY,UPI893956,NETBANKING
SYNTH-BANK-000092,2026-07-04 12:32:00,2382.83,CREDIT,Nykaa E-Retail,UPI161402,UPI
SYNTH-BANK-000093,2026-07-12 01:35:00,1304.52,CREDIT,DECATHLON INDIA,UPI779718,UPI
SYNTH-BANK-000094,2026-07-16 03:52:00,448.64,CREDIT,APOLLO PHARMACY,UPI681254,NETBANKING
SYNTH-BANK-000095,2026-07-19 17:08:00,829.87,CREDIT,Croma Electronics,UPI788521,WALLET
SYNTH-BANK-000096,2026-06-28 22:03:00,733.48,CREDIT,SWIGGY,UPI918816,UPI
SYNTH-BANK-000097,2026-05-27 11:02:00,4326.59,CREDIT,Uber Technologies,UPI239608,UPI
SYNTH-BANK-000098,2026-05-30 20:16:00,669.73,CREDIT,IRCTC,UPI724185,WALLET
SYNTH-BANK-000099,2026-07-07 23:46:00,1076.92,CREDIT,Zomato Ltd,UPI502154,NETBANKING
SYNTH-BANK-000100,2026-05-31 03:13:00,9869.98,CREDIT,URBAN COMPANY,UPI496865,CARD
SYNTH-BANK-000101,2026-07-15 01:15:00,1266.6,CREDIT,Flipkart Internet,UPI586450,WALLET
SYNTH-BANK-000102,2026-06-26 03:35:00,1499.32,CREDIT,UBER,UPI963084,CARD
SYNTH-BANK-000103,2026-07-30 06:09:00,2201.67,CREDIT,DECATHLON,UPI763762,CARD
SYNTH-BANK-000104,2026-06-13 17:14:00,2010.02,CREDIT,Apollo Pharmacy Ltd,UPI971307,CARD
SYNTH-BANK-000105,2026-06-23 09:10:00,2570.13,CREDIT,Ola Mobility,UPI262795,UPI
SYNTH-BANK-000106,2026-05-01 10:13:00,957.67,DEBIT,Zomato Ltd,UPI738526,CARD
SYNTH-BANK-000107,2026-07-28 04:10:00,786.41,CREDIT,CROMA RETAIL,UPI238854,NETBANKING
SYNTH-BANK-000108,2026-06-26 18:32:00,955.04,CREDIT,BIGBASKET,UPI360624,CARD
SYNTH-BANK-000109,2026-05-23 20:58:00,1199.49,DEBIT,Apollo Pharmacy Ltd,UPI915211,UPI
SYNTH-BANK-000110,2026-06-02 18:35:00,273.06,CREDIT,Urban Company India,UPI998944,WALLET
SYNTH-BANK-000111,2026-05-23 21:56:00,848.51,DEBIT,IRCTC E-TICKETING,UPI107938,UPI
SYNTH-BANK-000112,2026-06-01 01:19:00,246.98,DEBIT,MYNTRA,UPI675123,NETBANKING
SYNTH-BANK-000113,2026-05-19 17:20:00,620.39,CREDIT,FLIPKART PAY,UPI944810,WALLET
