ledger_id,timestamp,amount,direction,merchant,reference,invoice_id
SYNTH-LEDGER-000001,2026-06-18 11:40:00,508.97,DEBIT,FLIPKART,UPI694639,SYNTH-INV-000001
SYNTH-LEDGER-000002,2026-07-03 21:27:00,2385.17,DEBIT,BIGBASKET INDIA,UPI449836,SYNTH-INV-000002
SYNTH-LEDGER-000003,2026-07-08 22:40:00,1563.29,DEBIT,IRCTC,UPI853727,SYNTH-INV-000003
SYNTH-LEDGER-000004,2026-05-15 09:29:00,820.36,CREDIT,SWIGGY,UPI737098,SYNTH-INV-000004
SYNTH-LEDGER-000005,2026-07-29 09:48:00,327.07,CREDIT,METRO INDIA,UPI-156805,SYNTH-INV-000005
SYNTH-LEDGER-000006,2026-05-18 10:14:00,515.34,CREDIT,BOOKMYSHOW,UPI706543,SYNTH-INV-000006
SYNTH-LEDGER-000007,2026-06-19 01:09:00,2234.82,DEBIT,CROMA,UPI-847016,SYNTH-INV-000007
SYNTH-LEDGER-000008,2026-07-25 06:48:00,1577.31,CREDIT,OLA CABS,UPI449253,SYNTH-INV-000008
SYNTH-LEDGER-000009,2026-05-20 18:38:00,3009.72,CREDIT,Myntra Designs,UPI974622,SYNTH-INV-000009
SYNTH-LEDGER-000010,2026-06-11 10:52:00,1060.6,CREDIT,FLIPKART,UPI-275394,SYNTH-INV-000010
SYNTH-LEDGER-000011,2026-07-05 12:29:00,1544.38,CREDIT,URBAN COMPANY,UPI169692,SYNTH-INV-000011
SYNTH-LEDGER-000012,2026-07-24 03:16:00,758.9,CREDIT,CROMA RETAIL,UPI874320,SYNTH-INV-000012
SYNTH-LEDGER-000013,2026-07-28 04:49:00,1885.72,CREDIT,Amazon India,UPI697842,SYNTH-INV-000013
SYNTH-LEDGER-000014,2026-07-18 18:40:00,2680.06,CREDIT,Urban Company India,UPI979472,SYNTH-INV-000014
SYNTH-LEDGER-000015,2026-07-24 08:09:00,776.34,CREDIT,AMAZON PAY,UPI156995,SYNTH-INV-000015
SYNTH-LEDGER-000016,2026-07-22 12:05:00,1192.11,CREDIT,AMAZON PAY,UPI556710,SYNTH-INV-000016
SYNTH-LEDGER-000017,2026-06-29 01:03:00,2842.39,CREDIT,MYNTRA,UPI877722,SYNTH-INV-000017
SYNTH-LEDGER-000018,2026-06-12 20:35:00,2531.82,DEBIT,Urban Company India,UPI303335,SYNTH-INV-000018
SYNTH-LEDGER-000019,2026-06-04 10:10:00,1025.59,CREDIT,MYNTRA PAY,UPI654803,SYNTH-INV-000019
SYNTH-LEDGER-000020,2026-05-17 01:27:00,2226.97,CREDIT,OLA,UPI-705567,SYNTH-INV-000020
SYNTH-LEDGER-000021,2026-07-05 08:17:00,1028.31,CREDIT,Croma Electronics,UPI839944,SYNTH-INV-000021
SYNTH-LEDGER-000022,2026-06-15 03:59:00,1433.38,CREDIT,IRCTC,UPI943069,SYNTH-INV-000022
SYNTH-LEDGER-000024,2026-05-07 09:28:00,422.87,CREDIT,MYNTRA PAY,UPI-747711,SYNTH-INV-000024
SYNTH-LEDGER-000025,2026-06-24 04:26:00,3742.12,DEBIT,Apollo Pharmacy Ltd,UPI-983247,SYNTH-INV-000025
SYNTH-LEDGER-000026,2026-06-13 04:23:00,1899.72,CREDIT,CROMA,UPI772849,SYNTH-INV-000026
SYNTH-LEDGER-000027,2026-06-08 21:58:00,1101.49,DEBIT,BIGBASKET INDIA,UPI-793461,SYNTH-INV-000027
SYNTH-LEDGER-000028,2026-06-09 12:42:00,2470.8,DEBIT,DECATHLON INDIA,UPI696275,SYNTH-INV-000028
SYNTH-LEDGER-000029,2026-06-03 18:16:00,1694.01,DEBIT,BIGBASKET,UPI432398,SYNTH-INV-000029
SYNTH-LEDGER-000030,2026-06-14 11:06:00,411.47,DEBIT,ZOMATO*BANGALORE,UPI-513738,SYNTH-INV-000030
SYNTH-LEDGER-000031,2026-05-13 04:30:00,1187.99,DEBIT,Ola Mobility,UPI-302152,SYNTH-INV-000031
SYNTH-LEDGER-000033,2026-05-19 04:10:00,1681.7,CREDIT,Croma Electronics,UPI270148,SYNTH-INV-000033
SYNTH-LEDGER-000034,2026-05-16 15:15:00,653.91,CREDIT,SWIGGY*BLR,UPI-737341,SYNTH-INV-000034
SYNTH-LEDGER-000035,2026-06-13 10:19:00,1440.76,CREDIT,IRCTC,UPI444189,SYNTH-INV-000035
SYNTH-LEDGER-000036,2026-06-19 21:36:00,537.16,CREDIT,RELIANCE DIGITAL,UPI480527,SYNTH-INV-000036
SYNTH-LEDGER-000037,2026-06-22 17:17:00,2046.85,CREDIT,SWIGGY*BLR,UPI-773190,SYNTH-INV-000037
SYNTH-LEDGER-000038,2026-07-14 05:29:00,3241.97,CREDIT,Ola Mobility,UPI308204,SYNTH-INV-000038
SYNTH-LEDGER-000039,2026-07-05 02:08:00,1161.8,CREDIT,RELIANCE RETAIL,UPI-316834,SYNTH-INV-000039
SYNTH-LEDGER-000040,2026-05-25 22:18:00,1810.16,CREDIT,Urban Company India,UPI-874410,SYNTH-INV-000040
SYNTH-LEDGER-000041,2026-06-18 22:05:00,701.99,CREDIT,APOLLO PHARMACY,UPI786839,SYNTH-INV-000041
SYNTH-LEDGER-000042,2026-06-28 06:05:00,463.62,CREDIT,URBAN COMPANY,UPI496956,SYNTH-INV-000042
SYNTH-LEDGER-000043,2026-06-15 18:24:00,2479.6,CREDIT,BIGBASKET,UPI812305,SYNTH-INV-000043
SYNTH-LEDGER-000044,2026-06-22 15:17:00,1906.53,CREDIT,NYKAA,UPI529480,SYNTH-INV-000044
SYNTH-LEDGER-000045,2026-06-21 12:14:00,500.92,CREDIT,Nykaa E-Retail,UPI741632,SYNTH-INV-000045
SYNTH-LEDGER-000046,2026-05-07 13:20:00,597.28,DEBIT,METRO RETAIL,UPI-863052,SYNTH-INV-000046
SYNTH-LEDGER-000047,2026-07-20 11:18:00,1433.38,CREDIT,IRCTC RAIL,UPI839974,SYNTH-INV-000047
SYNTH-LEDGER-000048,2026-06-09 05:47:00,656.98,CREDIT,RELIANCE DIGITAL,UPI-410176,SYNTH-INV-000048
SYNTH-LEDGER-000049,2026-05-16 15:50:00,697.02,DEBIT,METRO RETAIL,UPI788996,SYNTH-INV-000049
SYNTH-LEDGER-000050,2026-05-01 15:48:00,694.8,CREDIT,BIGBASKET,UPI-713195,SYNTH-INV-000050
SYNTH-LEDGER-000051,2026-07-13 11:02:00,965.85,CREDIT,IRCTC,UPI369477,SYNTH-INV-000051
SYNTH-LEDGER-000052,2026-07-13 16:30:00,592.83,CREDIT,AMAZON,UPI-407996,SYNTH-INV-000052
SYNTH-LEDGER-000053,2026-05-01 20:43:00,364.95,CREDIT,AMAZON,UPI486960,SYNTH-INV-000053
SYNTH-LEDGER-000054,2026-07-10 04:42:00,1247.83,DEBIT,METRO INDIA,UPI856953,SYNTH-INV-000054
SYNTH-LEDGER-000055,2026-05-01 18:14:00,2595.83,DEBIT,NYKAA.COM,UPI-894663,SYNTH-INV-000055
SYNTH-LEDGER-000056,2026-07-21 03:41:00,1812.98,CREDIT,Nykaa E-Retail,UPI567022,SYNTH-INV-000056
SYNTH-LEDGER-000057,2026-06-05 22:41:00,217.15,CREDIT,BMS,UPI255523,SYNTH-INV-000057
SYNTH-LEDGER-000058,2026-06-07 06:50:00,424.22,DEBIT,DECATHLON INDIA,UPI573791,SYNTH-INV-000058
SYNTH-LEDGER-000059,2026-05-13 11:00:00,1819.72,CREDIT,Croma Electronics,UPI984687,SYNTH-INV-000059
SYNTH-LEDGER-000060,2026-05-07 19:45:00,538.82,DEBIT,FLIPKART PAY,UPI321287,SYNTH-INV-000060
SYNTH-LEDGER-000061,2026-05-10 04:18:00,380.08,CREDIT,APOLLO PHARMACY,UPI463175,SYNTH-INV-000061
SYNTH-LEDGER-000062,2026-05-27 10:22:00,1389.26,DEBIT,BOOKMYSHOW,UPI584969,SYNTH-INV-000062
SYNTH-LEDGER-000063,2026-06-27 15:37:00,993.07,CREDIT,DECATHLON INDIA,UPI339427,SYNTH-INV-000063
SYNTH-LEDGER-000064,2026-05-13 12:52:00,1788.57,CREDIT,BIGBASKET INDIA,UPI462583,SYNTH-INV-000064
SYNTH-LEDGER-000065,2026-05-24 09:39:00,1850.35,CREDIT,FLIPKART,UPI-131605,SYNTH-INV-000065
SYNTH-LEDGER-000066,2026-07-10 20:16:00,1386.3,DEBIT,Big Basket,UPI-323345,SYNTH-INV-000066
SYNTH-LEDGER-000067,2026-06-17 10:41:00,2693.13,CREDIT,NYKAA,UPI145482,SYNTH-INV-000067
SYNTH-LEDGER-000068,2026-06-26 02:05:00,1184.76,DEBIT,OLA CABS,UPI243121,SYNTH-INV-000068
SYNTH-LEDGER-000069,2026-07-28 03:44:00,1207.48,CREDIT,Myntra Designs,UPI497100,SYNTH-INV-000069
SYNTH-LEDGER-000070,2026-07-07 09:42:00,196.27,CREDIT,IRCTC,UPI988104,SYNTH-INV-000070
SYNTH-LEDGER-000071,2026-06-30 21:32:00,2884.86,CREDIT,BOOKMYSHOW,UPI554748,SYNTH-INV-000071
SYNTH-LEDGER-000072,2026-07-11 04:50:00,3117.35,DEBIT,IRCTC,UPI360551,SYNTH-INV-000072
SYNTH-LEDGER-000073,2026-07-12 01:54:00,1686.18,DEBIT,ZOMATO*BANGALORE,UPI269677,SYNTH-INV-000073
SYNTH-LEDGER-000074,2026-07-13 15:43:00,7188.88,CREDIT,METRO INDIA,UPI926073,SYNTH-INV-000074
SYNTH-LEDGER-000075,2026-06-27 19:37:00,3079.15,CREDIT,Amazon India,UPI637643,SYNTH-INV-000075
SYNTH-LEDGER-000076,2026-07-19 04:12:00,1482.59,DEBIT,AMAZON PAY,UPI640578,SYNTH-INV-000076
SYNTH-LEDGER-000077,2026-06-13 13:54:00,1681.75,DEBIT,FLIPKART PAY,UPI895175,SYNTH-INV-000077
SYNTH-LEDGER-000078,2026-05-31 16:48:00,2518.64,CREDIT,Zomato Ltd,UPI-941358,SYNTH-INV-000078
SYNTH-LEDGER-000079,2026-06-11 08:55:00,556.14,CREDIT,METRO RETAIL,UPI-298141,SYNTH-INV-000079
SYNTH-LEDGER-000080,2026-06-14 23:26:00,1939.6,DEBIT,Apollo Pharmacy Ltd,UPI775373,SYNTH-INV-000080
SYNTH-LEDGER-000081,2026-06-07 20:27:00,803.49,DEBIT,UBER INDIA,UPI950632,SYNTH-INV-000081
SYNTH-LEDGER-000082,2026-05-24 13:32:00,765.0,CREDIT,Apollo Pharmacy Ltd,UPI592888,SYNTH-INV-000082
SYNTH-LEDGER-000083,2026-07-10 12:09:00,7122.63,CREDIT,FLIPKART PAY,UPI466870,SYNTH-INV-000083
SYNTH-LEDGER-000084,2026-06-10 05:10:00,1400.98,DEBIT,MYNTRA,UPI739014,SYNTH-INV-000084
SYNTH-LEDGER-000087,2026-07-27 19:05:00,1102.35,DEBIT,METRO INDIA,UPI620747,SYNTH-INV-000087
SYNTH-LEDGER-000088,2026-07-21 15:14:00,807.35,CREDIT,FLIPKART,UPI-361872,SYNTH-INV-000088
SYNTH-LEDGER-000089,2026-05-18 05:43:00,730.0,DEBIT,Flipkart Internet,UPI-208099,SYNTH-INV-000089
SYNTH-LEDGER-000090,2026-05-08 01:08:00,592.69,CREDIT,Reliance Retail Ltd,UPI176522,SYNTH-INV-000090
SYNTH-LEDGER-000091,2026-06-07 05:23:00,1172.57,CREDIT,APOLLO,UPI893956,SYNTH-INV-000091
SYNTH-LEDGER-000092,2026-07-04 12:31:00,2263.69,CREDIT,NYKAA,UPI161402,SYNTH-INV-000092
SYNTH-LEDGER-000093,2026-07-12 01:35:00,1408.88,CREDIT,DECATHLON,UPI779718,SYNTH-INV-000093
SYNTH-LEDGER-000094,2026-07-16 04:05:00,448.64,CREDIT,APOLLO PHARMACY,UPI-681254,SYNTH-INV-000094
SYNTH-LEDGER-000095,2026-07-19 17:13:00,871.36,CREDIT,Croma Electronics,UPI788521,SYNTH-INV-000095
SYNTH-LEDGER-000096,2026-06-28 22:03:00,733.48,CREDIT,SWIGGY*BLR,UPI918816,SYNTH-INV-000096
SYNTH-LEDGER-000097,2026-05-27 11:10:00,4326.59,CREDIT,UBER INDIA,UPI-239608,SYNTH-INV-000097
SYNTH-LEDGER-000098,2026-05-30 20:24:00,656.34,CREDIT,IRCTC,UPI724186,SYNTH-INV-000098
SYNTH-LEDGER-000099,2026-07-08 00:01:00,990.77,CREDIT,ZOMATO,UPI502154,SYNTH-INV-000099
SYNTH-LEDGER-000100,2026-05-31 03:25:00,9869.98,CREDIT,Urban Company India,UPI496865,SYNTH-INV-000100
SYNTH-LEDGER-000101,2026-07-15 01:20:00,1165.27,CREDIT,FLIPKART PAY,UPI586450,SYNTH-INV-000101
SYNTH-LEDGER-000102,2026-06-26 03:41:00,1499.32,CREDIT,UBER,UPI963084,SYNTH-INV-000102
SYNTH-LEDGER-000103,2026-07-30 06:18:00,2201.67,CREDIT,Decathlon Sports,UPI763762,SYNTH-INV-000103
SYNTH-LEDGER-000104,2026-06-13 17:29:00,2010.02,CREDIT,Apollo Pharmacy Ltd,UPI971307,SYNTH-INV-000104
SYNTH-LEDGER-000105,2026-06-23 09:17:00,2570.13,CREDIT,OLA CABS,UPI262795,SYNTH-INV-000105
SYNTH-LEDGER-000106,2026-05-01 10:09:00,957.67,DEBIT,ZOMATO,UPI738526,SYNTH-INV-000106
SYNTH-LEDGER-000107,2026-07-28 04:14:00,786.41,CREDIT,CROMA,UPI-238854,SYNTH-INV-000107
SYNTH-LEDGER-000108,2026-06-26 18:43:00,955.04,CREDIT,Big Basket,UPI-360624,SYNTH-INV-000108
SYNTH-LEDGER-000109,2026-05-23 21:03:00,1223.48,DEBIT,Apollo Pharmacy Ltd,UPI915212,SYNTH-INV-000109
