case_id,bank_txn_id,ledger_id,true_status,exception_type
SYNTH-CASE-000001,SYNTH-BANK-000001,SYNTH-LEDGER-000001,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000002,SYNTH-BANK-000002,SYNTH-LEDGER-000002,MATCH,NONE
SYNTH-CASE-000003,SYNTH-BANK-000003,SYNTH-LEDGER-000003,MATCH,NONE
SYNTH-CASE-000004,SYNTH-BANK-000004,SYNTH-LEDGER-000004,MATCH,NONE
SYNTH-CASE-000005,SYNTH-BANK-000005,SYNTH-LEDGER-000005,MATCH,NONE
SYNTH-CASE-000006,SYNTH-BANK-000006,SYNTH-LEDGER-000006,MATCH,NONE
SYNTH-CASE-000007,SYNTH-BANK-000007,SYNTH-LEDGER-000007,MATCH,NONE
SYNTH-CASE-000008,SYNTH-BANK-000008,SYNTH-LEDGER-000008,MATCH,NONE
SYNTH-CASE-000009,SYNTH-BANK-000009,SYNTH-LEDGER-000009,DUPLICATE,DUPLICATE
SYNTH-CASE-000010,SYNTH-BANK-000010,SYNTH-LEDGER-000010,MATCH,NONE
SYNTH-CASE-000011,SYNTH-BANK-000011,SYNTH-LEDGER-000011,MATCH,NONE
SYNTH-CASE-000012,SYNTH-BANK-000012,SYNTH-LEDGER-000012,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000013,SYNTH-BANK-000013,SYNTH-LEDGER-000013,DUPLICATE,DUPLICATE
SYNTH-CASE-000014,SYNTH-BANK-000014,SYNTH-LEDGER-000014,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000015,SYNTH-BANK-000015,SYNTH-LEDGER-000015,MATCH,NONE
SYNTH-CASE-000016,SYNTH-BANK-000016,SYNTH-LEDGER-000016,MATCH,NONE
SYNTH-CASE-000017,SYNTH-BANK-000017,SYNTH-LEDGER-000017,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000018,SYNTH-BANK-000018,SYNTH-LEDGER-000018,MATCH,NONE
SYNTH-CASE-000019,SYNTH-BANK-000019,SYNTH-LEDGER-000019,MATCH,NONE
SYNTH-CASE-000020,SYNTH-BANK-000020,SYNTH-LEDGER-000020,MATCH,NONE
SYNTH-CASE-000021,SYNTH-BANK-000021,SYNTH-LEDGER-000021,AMOUNT_MISMATCH,AMOUNT_MISMATCH
SYNTH-CASE-000022,SYNTH-BANK-000022,SYNTH-LEDGER-000022,MATCH,NONE
SYNTH-CASE-000023,SYNTH-BANK-000023,,UNMATCHED_BANK,MISSING_LEDGER
