bank_txn_id,timestamp,amount,direction,merchant,reference,payment_method
SYNTH-SETTLE-BANK-00001,2026-05-01 11:08:00,10154.26,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000001,SETTLEMENT
SYNTH-SETTLE-BANK-00002,2026-05-02 14:27:00,20321.07,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000002,SETTLEMENT
SYNTH-SETTLE-BANK-00003,2026-05-03 14:52:00,28427.03,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000003,SETTLEMENT
SYNTH-SETTLE-BANK-00004,2026-05-04 14:50:00,23948.82,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000004,SETTLEMENT
SYNTH-SETTLE-BANK-00005,2026-05-05 11:33:00,28284.33,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000005,SETTLEMENT
SYNTH-SETTLE-BANK-00006,2026-05-06 12:34:00,14801.77,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000006,SETTLEMENT
SYNTH-SETTLE-BANK-00007,2026-05-07 11:55:00,31470.16,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000007,SETTLEMENT
SYNTH-SETTLE-BANK-00008,2026-05-08 12:48:00,30458.38,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000008,SETTLEMENT
SYNTH-SETTLE-BANK-00009,2026-05-09 14:53:00,29546.17,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000009,SETTLEMENT
SYNTH-SETTLE-BANK-00010,2026-05-10 14:03:00,21683.01,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000010,SETTLEMENT
SYNTH-SETTLE-BANK-00011,2026-05-11 14:05:00,20170.61,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000011,SETTLEMENT
SYNTH-SETTLE-BANK-00012,2026-05-12 12:41:00,23945.53,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000012,SETTLEMENT
SYNTH-SETTLE-BANK-00013,2026-05-13 14:44:00,29234.82,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000013,SETTLEMENT
SYNTH-SETTLE-BANK-00014,2026-05-14 14:40:00,30049.06,CREDIT,RAZORPAY SETTLEMENT,SYNTHUTR000000000014,SETTLEMENT
